2024-10-10 12:34:12,660 | crawler.vnexpress | Line 97 | INFO | Crawl articles type thoi-su
2024-10-10 12:34:12,660 | crawler.vnexpress | Line 101 | INFO | Getting urls of thoi-su...
2024-10-10 12:34:13,367 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of thoi-su...
2024-10-10 12:34:13,367 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/thoi-su.txt file...
2024-10-10 12:34:22,883 | crawler.vnexpress | Line 80 | DEBUG | Crawling unsuccessfully: https://vnexpress.net/70-nam-ngay-ha-noi-gianh-quyen-lam-chu-anh-sang-tu-phap-4802164.html
2024-10-10 12:34:36,849 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/thoi-su directory...
2024-10-10 12:34:36,849 | crawler.vnexpress | Line 122 | INFO | The number of failed thoi-su URL: 1
2024-10-10 12:34:36,861 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:34:36,861 | crawler.vnexpress | Line 97 | INFO | Crawl articles type goc-nhin
2024-10-10 12:34:36,861 | crawler.vnexpress | Line 101 | INFO | Getting urls of goc-nhin...
2024-10-10 12:34:38,763 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of goc-nhin...
2024-10-10 12:34:38,763 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/goc-nhin.txt file...
2024-10-10 12:34:47,214 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/goc-nhin directory...
2024-10-10 12:34:47,215 | crawler.vnexpress | Line 122 | INFO | The number of failed goc-nhin URL: 0
2024-10-10 12:34:47,215 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:34:47,215 | crawler.vnexpress | Line 97 | INFO | Crawl articles type the-gioi
2024-10-10 12:34:47,215 | crawler.vnexpress | Line 101 | INFO | Getting urls of the-gioi...
2024-10-10 12:34:47,835 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of the-gioi...
2024-10-10 12:34:47,836 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/the-gioi.txt file...
2024-10-10 12:35:05,277 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/the-gioi directory...
2024-10-10 12:35:05,277 | crawler.vnexpress | Line 122 | INFO | The number of failed the-gioi URL: 0
2024-10-10 12:35:05,277 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:35:05,277 | crawler.vnexpress | Line 97 | INFO | Crawl articles type kinh-doanh
2024-10-10 12:35:05,278 | crawler.vnexpress | Line 101 | INFO | Getting urls of kinh-doanh...
2024-10-10 12:35:06,238 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of kinh-doanh...
2024-10-10 12:35:06,238 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/kinh-doanh.txt file...
2024-10-10 12:35:07,210 | crawler.vnexpress | Line 80 | DEBUG | Crawling unsuccessfully: https://vnexpress.net/cach-nao-de-duoc-cap-tin-chi-carbon-4797397.html
2024-10-10 12:35:16,247 | crawler.vnexpress | Line 80 | DEBUG | Crawling unsuccessfully: https://vnexpress.net/net-zero-la-gi-4794647.html
2024-10-10 12:35:27,667 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/kinh-doanh directory...
2024-10-10 12:35:27,667 | crawler.vnexpress | Line 122 | INFO | The number of failed kinh-doanh URL: 2
2024-10-10 12:35:27,667 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:35:27,667 | crawler.vnexpress | Line 97 | INFO | Crawl articles type bat-dong-san
2024-10-10 12:35:27,667 | crawler.vnexpress | Line 101 | INFO | Getting urls of bat-dong-san...
2024-10-10 12:35:29,847 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of bat-dong-san...
2024-10-10 12:35:29,847 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/bat-dong-san.txt file...
2024-10-10 12:36:08,671 | crawler.vnexpress | Line 80 | DEBUG | Crawling unsuccessfully: https://vnexpress.net/biet-thu-lagoon-residences-kien-tao-khong-gian-song-nhu-nghi-duong-4793903.html
2024-10-10 12:36:27,348 | crawler.vnexpress | Line 80 | DEBUG | Crawling unsuccessfully: https://vnexpress.net/loat-cong-trinh-tien-ich-nghin-ty-sap-trien-khai-tai-phu-my-hung-4799538.html
2024-10-10 12:36:29,392 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/bat-dong-san directory...
2024-10-10 12:36:29,392 | crawler.vnexpress | Line 122 | INFO | The number of failed bat-dong-san URL: 2
2024-10-10 12:36:29,392 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:36:29,392 | crawler.vnexpress | Line 97 | INFO | Crawl articles type khoa-hoc
2024-10-10 12:36:29,393 | crawler.vnexpress | Line 101 | INFO | Getting urls of khoa-hoc...
2024-10-10 12:36:30,713 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of khoa-hoc...
2024-10-10 12:36:30,713 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/khoa-hoc.txt file...
2024-10-10 12:37:06,094 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/khoa-hoc directory...
2024-10-10 12:37:06,094 | crawler.vnexpress | Line 122 | INFO | The number of failed khoa-hoc URL: 0
2024-10-10 12:37:06,094 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:37:06,094 | crawler.vnexpress | Line 97 | INFO | Crawl articles type giai-tri
2024-10-10 12:37:06,095 | crawler.vnexpress | Line 101 | INFO | Getting urls of giai-tri...
2024-10-10 12:37:06,776 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of giai-tri...
2024-10-10 12:37:06,777 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/giai-tri.txt file...
2024-10-10 12:37:31,113 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/giai-tri directory...
2024-10-10 12:37:31,114 | crawler.vnexpress | Line 122 | INFO | The number of failed giai-tri URL: 0
2024-10-10 12:37:31,114 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:37:31,114 | crawler.vnexpress | Line 97 | INFO | Crawl articles type the-thao
2024-10-10 12:37:31,114 | crawler.vnexpress | Line 101 | INFO | Getting urls of the-thao...
2024-10-10 12:37:32,008 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of the-thao...
2024-10-10 12:37:32,008 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/the-thao.txt file...
2024-10-10 12:37:58,208 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/the-thao directory...
2024-10-10 12:37:58,208 | crawler.vnexpress | Line 122 | INFO | The number of failed the-thao URL: 0
2024-10-10 12:37:58,210 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:37:58,210 | crawler.vnexpress | Line 97 | INFO | Crawl articles type phap-luat
2024-10-10 12:37:58,210 | crawler.vnexpress | Line 101 | INFO | Getting urls of phap-luat...
2024-10-10 12:37:59,405 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of phap-luat...
2024-10-10 12:37:59,405 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/phap-luat.txt file...
2024-10-10 12:38:28,486 | crawler.vnexpress | Line 80 | DEBUG | Crawling unsuccessfully: https://video.vnexpress.net/ba-chu-cua-hang-dien-thoai-gat-dao-ten-cuop-4801223.html
2024-10-10 12:38:30,022 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/phap-luat directory...
2024-10-10 12:38:30,022 | crawler.vnexpress | Line 122 | INFO | The number of failed phap-luat URL: 1
2024-10-10 12:38:30,023 | crawler.vnexpress | Line 123 | INFO | -------------------------------------------------------------------------------
2024-10-10 12:38:30,023 | crawler.vnexpress | Line 97 | INFO | Crawl articles type giao-duc
2024-10-10 12:38:30,023 | crawler.vnexpress | Line 101 | INFO | Getting urls of giao-duc...
2024-10-10 12:38:30,689 | crawler.vnexpress | Line 108 | INFO | Crawling from urls of giao-duc...
2024-10-10 12:38:30,689 | crawler.vnexpress | Line 60 | INFO | Start crawling urls from result/urls/giao-duc.txt file...
2024-10-10 12:39:13,261 | crawler.vnexpress | Line 71 | INFO | Saving crawling result into result/giao-duc directory...
